Feature Name,X,Y,Z
FUCA fore,4.078,9.492422,10.26018
FUCA outboard,-1.063,20.905512,11.65339
FUCA aft,-4.829,10.310335,10.69756
Front tie rod inboard,2,9.047104,4.664331
Front tie rod outboard,1.653,22.472835,4.875
FLCA fore,0.75,8.6979315,4.329
FLCA outboard,-0.236,22.165354,4.488189
FLCA aft,-4.853,9.214095,4.484252
FWC,0,23.5,7.992126
RUCA fore,-56.345,10.19347,9.901
RUCA outboard,-60.551,18.819,11.811
RUCA aft,-64.055,10.20293,9.993
Rear tie rod inboard,-56.2961,9.797692,4.802
Rear tie rod outboard,-58.661,20.944,4.764
RLCA fore,-58.195,9.797804,4.802
RLCA outboard,-62.223,21.22,4.685
RLCA aft,-65.086,9.734372,4.602
RWC,-60.5,23,7.992126
